 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Região/UF e Complexidade
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS, 0301030111 REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS, 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC, 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA, 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA, 0301060045 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM OBSERVACAO ATE 8 HORAS, 0301060053 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM REMOCAO, 0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA, 0301080399 MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENCAO DA URGENCIA E EMERGENCIA, E DOS SERVICOS HOSPITAL, 0413010023 ATENDIMENTO DE URGENCIA EM PEQUENO QUEIMADO
Período:2018-2020
"Região/UF";"Atenção Básica";"Média complexidade";"Não se aplica";"Total"
"Região Norte";4928313;27500934;3284465;35713712
".. Rondônia";356631;3118367;105516;3580514
".. Acre";32300;1221203;145290;1398793
".. Amazonas";121191;8940541;1248664;10310396
".. Roraima";7368;1820679;80425;1908472
".. Pará";4095418;8917580;1330916;14343914
".. Amapá";185630;1301964;188711;1676305
".. Tocantins";129775;2180600;184943;2495318
"Região Nordeste";7116233;95722641;13039027;115877901
".. Maranhão";700011;19794593;936394;21430998
".. Piauí";197900;4621551;439917;5259368
".. Ceará";2173908;12773262;944747;15891917
".. Rio Grande do Norte";537367;7467547;411633;8416547
".. Paraíba";319671;6377723;1353389;8050783
".. Pernambuco";1363976;17941120;2643451;21948547
".. Alagoas";111631;5838283;1188339;7138253
".. Sergipe";488438;3479652;1102002;5070092
".. Bahia";1223331;17428910;4019155;22671396
"Região Sudeste";35359789;114021189;27362250;176743228
".. Minas Gerais";5090299;17275504;6893366;29259169
".. Espírito Santo";991142;5587542;1854736;8433420
".. Rio de Janeiro";1506350;26299551;3738804;31544705
".. São Paulo";27771998;64858592;14875344;107505934
"Região Sul";8130005;39427393;8010929;55568327
".. Paraná";5887690;8702638;3198123;17788451
".. Santa Catarina";924432;10526889;3121883;14573204
".. Rio Grande do Sul";1317883;20197866;1690923;23206672
"Região Centro-Oeste";1662116;23022267;5549650;30234033
".. Mato Grosso do Sul";304463;2996387;1292611;4593461
".. Mato Grosso";418487;3768535;781735;4968757
".. Goiás";915846;11184300;920489;13020635
".. Distrito Federal";23320;5073045;2554815;7651180
"Total";57196456;299694424;57246321;414137201
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
