 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Região/UF e Complexidade
Procedimento: 0301030014 SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS, 0301030111 REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS, 0301030146 SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULACAO DAS URGENCIAS COM ORIENTAC, 0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA, 0301060037 ATENDIMENTO DE URGENCIA EM ATENCAO BASICA, 0301060045 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM OBSERVACAO ATE 8 HORAS, 0301060053 ATENDIMENTO DE URGENCIA EM ATENCAO PRIMARIA COM REMOCAO, 0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA, 0301080399 MATRICIAMENTO DE EQUIPES DOS PONTOS DE ATENCAO DA URGENCIA E EMERGENCIA, E DOS SERVICOS HOSPITAL, 0413010023 ATENDIMENTO DE URGENCIA EM PEQUENO QUEIMADO
Período:2023-2024
"Região/UF";"Média complexidade";"Não se aplica";"Total"
"Região Norte";294207660,98;256360,00;294464020,98
".. Rondônia";31709320,09;-;31709320,09
".. Acre";12927650,94;-;12927650,94
".. Amazonas";84712128,40;-;84712128,40
".. Roraima";12904907,63;-;12904907,63
".. Pará";106311222,31;256360,00;106567582,31
".. Amapá";21770900,22;-;21770900,22
".. Tocantins";23871531,39;-;23871531,39
"Região Nordeste";918502557,74;5363685,00;923866242,74
".. Maranhão";176890700,61;194910,00;177085610,61
".. Piauí";40932093,64;-;40932093,64
".. Ceará";139328281,50;-;139328281,50
".. Rio Grande do Norte";76897709,96;-;76897709,96
".. Paraíba";67191456,82;5168775,00;72360231,82
".. Pernambuco";170699157,78;-;170699157,78
".. Alagoas";49435373,94;-;49435373,94
".. Sergipe";34923232,70;-;34923232,70
".. Bahia";162204550,79;-;162204550,79
"Região Sudeste";1119015391,81;-;1119015391,81
".. Minas Gerais";217423166,05;-;217423166,05
".. Espírito Santo";65589233,95;-;65589233,95
".. Rio de Janeiro";320396128,34;-;320396128,34
".. São Paulo";515606863,47;-;515606863,47
"Região Sul";375899220,38;-;375899220,38
".. Paraná";84308120,32;-;84308120,32
".. Santa Catarina";106061079,52;-;106061079,52
".. Rio Grande do Sul";185530020,54;-;185530020,54
"Região Centro-Oeste";238008831,41;-;238008831,41
".. Mato Grosso do Sul";35424283,38;-;35424283,38
".. Mato Grosso";35767116,59;-;35767116,59
".. Goiás";122963494,87;-;122963494,87
".. Distrito Federal";43853936,57;-;43853936,57
"Total";2945633662,32;5620045,00;2951253707,32
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
